bb_period,bb_std,rsi_oversold,ret_2024,sharpe_2024,dd_2024,trades_2024,ret_2025,sharpe_2025,dd_2025,trades_2025,score,avg_sharpe,min_return,all_positive
30,2.0,35,0.12701168609288088,1.8601578122181917,-0.08748844720727973,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.3636590604164063,2.3636590604164063,0.12701168609288088,True
30,3.0,35,0.12701168609288088,1.8601578122181917,-0.08748844720727973,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.3636590604164063,2.3636590604164063,0.12701168609288088,True
30,2.5,35,0.12701168609288088,1.8601578122181917,-0.08748844720727973,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.3636590604164063,2.3636590604164063,0.12701168609288088,True
30,1.5,35,0.12701168609288088,1.8601578122181917,-0.08748844720727973,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.3636590604164063,2.3636590604164063,0.12701168609288088,True
20,3.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
20,1.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
14,2.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
20,2.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
26,2.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
14,1.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
14,2.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
14,3.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
10,3.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
26,2.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
10,2.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
20,2.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
10,2.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
26,1.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
26,3.0,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
10,1.5,35,0.12143480773917108,1.7889355151420827,-0.08748844720727922,26,0.2123141474048967,2.867160308614621,-0.12138687511668024,34,2.328047911878352,2.328047911878352,0.12143480773917108,True
30,1.5,30,-0.027476800653567262,-0.32568791561043964,-0.1720735886019549,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.1302526456401223,0.4302526456401223,-0.027476800653567262,False
30,3.0,30,-0.027476800653567262,-0.32568791561043964,-0.1720735886019549,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.1302526456401223,0.4302526456401223,-0.027476800653567262,False
30,2.0,30,-0.027476800653567262,-0.32568791561043964,-0.1720735886019549,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.1302526456401223,0.4302526456401223,-0.027476800653567262,False
30,2.5,30,-0.027476800653567262,-0.32568791561043964,-0.1720735886019549,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.1302526456401223,0.4302526456401223,-0.027476800653567262,False
20,1.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
14,2.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
20,3.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
20,2.0,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
10,1.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
26,1.5,30,-0.03228921178101336,-0.407200886265055,-0.17207358860195562,18,0.06682801909189912,1.1861932068906842,-0.08440636342922235,19,0.0894961603128146,0.3894961603128146,-0.03228921178101336,False
