fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor
15,20,0.06433813610847028,0.39406445162036924,-0.045021102073336754,0.22580645161290322,124,0
5,20,0.06258812527768659,0.3738037043147078,-0.032669958590358726,0.20689655172413793,116,0
8,40,0.052211200191200624,0.3524624987510038,-0.028762775175184777,0.2,60,0
5,30,0.04461260144396783,0.2833451878065752,-0.06443771080828356,0.1794871794871795,78,0
8,20,0.04401948231346978,0.27303409855079774,-0.05507028047911371,0.2549019607843137,102,0
10,20,0.0333268474471246,0.21095884206558846,-0.05330515364948432,0.22,100,0
8,30,0.029487971296788602,0.19739447524941717,-0.04926040148413805,0.16666666666666666,72,0
5,40,0.025443235783628008,0.18194055671163184,-0.04678817933988097,0.1527777777777778,72,0
10,40,0.01986384558673508,0.1414248341543143,-0.03877719370330387,0.19642857142857142,56,0
8,50,0.013660831269365554,0.1094793481371442,-0.03313506742374001,0.15384615384615385,52,0
5,50,0.006574682812458378,0.05617658244531259,-0.05710873680436613,0.14516129032258066,62,0
10,50,0.001772883868257486,0.02178177425324486,-0.04128109437658018,0.17307692307692307,52,0
20,40,-0.0018949566413883076,-0.004526581567214921,-0.033046219284019934,0.15384615384615385,52,0
15,60,-0.0021018240904166303,-0.008780537848614817,-0.03882480304076271,0.16666666666666666,36,0
8,60,-0.007082153264826957,-0.04707049781055338,-0.0353792752779855,0.15217391304347827,46,0
20,50,-0.007469169669152325,-0.05088728730275721,-0.036210636317303396,0.17391304347826086,46,0
10,30,-0.00983300709738869,-0.053561169710827035,-0.06165284853745155,0.14864864864864866,74,0
20,60,-0.010461449411623107,-0.07818036677722288,-0.04422351115246565,0.16666666666666666,36,0
10,60,-0.013125288202695084,-0.08572679518062129,-0.03808287027531494,0.1590909090909091,44,0
15,40,-0.02337138513095215,-0.16364229117837117,-0.05207871848129414,0.15384615384615385,52,0
15,30,-0.02743746676726787,-0.19182153990269016,-0.061312949253514236,0.171875,64,0
5,60,-0.0305314910517709,-0.20618281675860073,-0.06010337723989314,0.109375,64,0
20,30,-0.04123619037972858,-0.32152854380280316,-0.06476613340262828,0.1527777777777778,72,0
15,50,-0.03919397675365581,-0.33384444307656597,-0.060399505796845214,0.125,48,0
